concept_en,asm_Beng,ben_Beng,guj_Gujr,hin_Deva,mal_Mlym,mar_Deva,ory_Orya,pan_Guru,tam_Taml
water,পানী,জল,પાણી,जल,വെള്ളം,पाणी,ପାଣି,ਪਾਣੀ,நீர்
sun,সূৰ্য,সূর্য,સૂર્ય,सूर्य,സൂര്യൻ,सूर्य,ସୂର୍ଯ୍ୟ,ਸੂਰਜ,சூரியன்
moon,চন্দ্ৰ,চাঁদ,ચંદ્ર,चंद्रमा,ചന്ദ്രൻ,चंद्र,ଚନ୍ଦ୍ରମା,ਚੰਦਰਮਾ,நிலவு
star,নক্ষত্ৰ,তারকা,તારા,तारा,നക്ഷത്രം,तारा,ତାରା,ਤਾਰਾ,நட்சத்திரம்
flower,ফুল,ফুল,ફૂલ,फूल,പൂവ്,फुल,ଫୁଲ,ਫੁੱਲ,பூ
tree,গাছ,গাছ,વૃક્ષ,वृक्ष,മരവും,झाड,ବୃକ୍ଷ,ਰੁੱਖ,மரங்கள்
river,নদী,নদী,નદી,नदी,പുഴ,नदी,ନଦୀ,ਨਦੀ,நதி
mountain,পৰ্ব্বত,পাহাড়,પર્વત,पर्वत,മലനിരകൾ,डोंगर,ପାହାଡ଼,ਪਹਾੜ,மலை
house,ঘৰ,বাড়ি,ઘર,घर,വീട്,घर,ଘର,ਘਰ,வீடு
door,দুৱাৰ,দরজা,બારણું,द्वार,വാതിൽ,दरवाजा,କବାଟ,ਦਰਵਾਜ਼ਾ,கதவு
window,উইণ্ডো,উইন্ডো,વિન્ડો,खिड़की,വിൻഡോ,खिडकी,ଝରକା,ਵਿੰਡੋ,ஜன்னல்
road,পথ,পথ,રસ્તો,सड़क,റോഡ്,रस्ता,ରାସ୍ତା,ਸੜਕ,சாலை
book,কিতাপ,বই,પુસ્તક,पुस्तक,പുസ്തകം,पुस्तक,ପୁସ୍ତକ,ਕਿਤਾਬ,புத்தகம்
school,বিদ্যালয়,স্কুল,શાળા,विद्यालय,സ്കൂൾ,शाळा,ବିଦ୍ୟାଳୟ,ਸਕੂਲ,பள்ளி
teacher,শিক্ষক,শিক্ষক,શિક્ષક,शिक्षक,അധ്യാപകൻ,शिक्षक,ଶିକ୍ଷକ,ਅਧਿਆਪਕ,ஆசிரியர்
student,ছাত্ৰ,ছাত্র,વિદ્યાર્થી,छात्र,വിദ്യാർഥി,विद्यार्थी,ଛାତ୍ର,ਵਿਦਿਆਰਥੀ,மாணவர்
food,খাদ্য,খাদ্য,ખોરાક,भोजन,ഭക്ഷണം,अन्न,ଖାଦ୍ୟ,ਭੋਜਨ,உணவு
rice,চাউল,ধান,ચોખા,चावल,അരി,तांदूळ,ଚାଉଳ,ਚਾਵਲ,அரிசி
milk,দুগ্ধ,দুধ,દૂધ,दूध,പാൽ,दूध,କ୍ଷୀର,ਦੁੱਧ,பால்
bread,পিঠা,রুটি,રોટલી,रोटी,അപ്പം,भाकरी,ରୁଟି,ਰੋਟੀ,ரொட்டி
music,সংগীত,সঙ্গীত,સંગીત,संगीत,സംഗീതം,संगीत,ସଙ୍ଗୀତ,ਸੰਗੀਤ,இசை
dance,নাচ,নাচ,નૃત્ય,नृत्य,നൃത്തം,नृत्य,ନୃତ୍ୟ,ਡਾਂਸ,நடனம்
friend,বন্ধু,বন্ধু,મિત્ર,मित्र,സുഹൃത്ത്,मित्र,ବନ୍ଧୁ,ਦੋਸਤ,நண்பர்
family,পৰিয়াল,পরিবার,પરિવાર,परिवार,കുടുംബം,कुटुंब,ପରିବାର,ਪਰਿਵਾਰ,குடும்பம்
child,শিশু,শিশু,બાળક,बच्चा,കുട്ടിയേ,बाल,ଶିଶୁ,ਬੱਚਾ,குழந்தை
mother,মাতৃ,মা,મા,माँ,മാതാവ്,आई,ମା',ਮਾਂ,தாய்
father,পিতৃ,পিতা,પિતા,पिता,പിതാവ്,पिता,ପିତା,ਪਿਤਾ,தந்தை
day,দিন,দিন,દિવસ,दिन,ദിവസം,दिवस,ଦିନ,ਦਿਨ,நாள்
night,ৰাতি,রাত্রি,રાત,रात,രാത്രികാലം,रात्र,ରାତି,ਰਾਤ,இரவு
morning,পুৱা,সকাল,સવારે,सुबह,രാവിലെ,सकाळ,ସକାଳୁ ସକାଳୁ,ਸਵੇਰ,காலை
happy,সুখী,সুখী,સુખી,प्रसन्न,സന്തോഷമുള്ള,आनंदी,ଖୁସି,ਖੁਸ਼,மகிழ்ச்சியாக
sad,দুখীয়া,দুঃখজনক,ઉદાસી,दुखद,ദുഃഖം,दुःखद,ଦୁଃଖୀ,ਦੁਖੀ,துயரம்
small,সৰু,ছোট,નાના,छोटा,ചെറിയ,लहान,ଛୋଟ,ਛੋਟਾ,சிறிய
big,ডাঙৰ,বড়,મોટા,बड़ा,വലിയ,मोठे,ବଡ଼,ਵੱਡਾ,பெரிய
fast,দ্ৰুত,দ্রুত,ઝડપી,तेजी से,വേഗത്തില്,जलद,ଶୀଘ୍ର,ਤੇਜ਼,வேகமாக
slow,ধীৰে ধীৰে,ধীর,ધીમી,धीमी,പതുക്കെ,हळूहळू,ଧୀର,ਹੌਲੀ,மெதுவாக
red,ৰঙা,লাল,લાલ,लाल,ചുവന്ന,लाल,ଲାଲ ରଙ୍ଗର,ਲਾਲ,சிவப்பு
blue,নীলা,নীল,વાદળી,नीला,നീല,निळा,ନୀଳ,ਨੀਲਾ,நீல
green,সবুজ,সবুজ,લીલો,हरा,പച്ച,हिरवा,ସବୁଜ,ਹਰੀ,பச்சை
white,বগা,সাদা,સફેદ,सफेद,വെളുത്ത,पांढरा,ଧଳା,ਚਿੱਟਾ,வெள்ளை
