concept_en,pair_name,pair_class,src_lang,tgt_lang,src_lang_name,tgt_lang_name,src_native,src_roman,src_devanagari,tgt_native,tgt_roman,tgt_devanagari,hindi_native
water,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,জল,jala,जल,પાણી,paaNii,पाणी,जल
water,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પાણી,paaNii,पाणी,நீர்,niir,नीर्,जल
water,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পানী,paanii,पानी,জল,jala,जल,जल
water,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,जल,jala,जल,પાણી,paaNii,पाणी,जल
sun,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সূর্য,suurya,सूर्य,સૂર્ય,suurya,सूर्य,सूर्य
sun,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,સૂર્ય,suurya,सूर्य,சூரியன்,chuuriya*n,चूरियऩ्,सूर्य
sun,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,সূৰ্য,suuya,सूৰ्य,সূর্য,suurya,सूर्य,सूर्य
sun,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,सूर्य,suurya,सूर्य,સૂર્ય,suurya,सूर्य,सूर्य
moon,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,চাঁদ,chaaँda,चाँद,ચંદ્ર,cha.mdra,चंद्र,चंद्रमा
moon,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ચંદ્ર,cha.mdra,चंद्र,நிலவு,nilavu,निलवु,चंद्रमा
moon,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,চন্দ্ৰ,chand॰,चन्द्ৰ,চাঁদ,chaaँda,चाँद,चंद्रमा
moon,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,चंद्रमा,cha.mdramaa,चंद्रमा,ચંદ્ર,cha.mdra,चंद्र,चंद्रमा
star,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,তারকা,taarakaa,तारका,તારા,taaraa,तारा,तारा
star,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,તારા,taaraa,तारा,நட்சத்திரம்,naTchattiram,नट्चत्तिरम्,तारा
star,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,নক্ষত্ৰ,nakShat॰,नक्षत्ৰ,তারকা,taarakaa,तारका,तारा
star,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,तारा,taaraa,तारा,તારા,taaraa,तारा,तारा
flower,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,ফুল,phula,फुल,ફૂલ,phuula,फूल,फूल
flower,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ફૂલ,phuula,फूल,பூ,puu,पू,फूल
flower,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ফুল,phula,फुल,ফুল,phula,फुल,फूल
flower,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,फूल,phuula,फूल,ફૂલ,phuula,फूल,फूल
tree,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,গাছ,gaaCha,गाछ,વૃક્ષ,vR^ikSha,वृक्ष,वृक्ष
tree,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,વૃક્ષ,vR^ikSha,वृक्ष,மரங்கள்,mara~Nkald,मरङ्कळ्,वृक्ष
tree,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,গাছ,gaaCha,गाछ,গাছ,gaaCha,गाछ,वृक्ष
tree,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,वृक्ष,vR^ikSha,वृक्ष,વૃક્ષ,vR^ikSha,वृक्ष,वृक्ष
river,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,নদী,nadii,नदी,નદી,nadii,नदी,नदी
river,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,નદી,nadii,नदी,நதி,nati,नति,नदी
river,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,নদী,nadii,नदी,নদী,nadii,नदी,नदी
river,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,नदी,nadii,नदी,નદી,nadii,नदी,नदी
mountain,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,পাহাড়,paahaaDa़,पाहाड़,પર્વત,parvata,पर्वत,पर्वत
mountain,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પર્વત,parvata,पर्वत,மலை,malai,मलै,पर्वत
mountain,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পৰ্ব্বত,pabbata,पৰ्ब्बत,পাহাড়,paahaaDa़,पाहाड़,पर्वत
mountain,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,पर्वत,parvata,पर्वत,પર્વત,parvata,पर्वत,पर्वत
house,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,বাড়ি,baaDai,बाड़ि,ઘર,ghara,घर,घर
house,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ઘર,ghara,घर,வீடு,viiTu,वीटु,घर
house,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ঘৰ,gha॰,घৰ,বাড়ি,baaDai,बाड़ि,घर
house,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,घर,ghara,घर,ઘર,ghara,घर,घर
door,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,দরজা,darajaa,दरजा,બારણું,baaraNu.m,बारणुं,द्वार
door,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,બારણું,baaraNu.m,बारणुं,கதவு,katavu,कतवु,द्वार
door,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,দুৱাৰ,duaa॰,दुৱाৰ,দরজা,darajaa,दरजा,द्वार
door,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,द्वार,dvaara,द्वार,બારણું,baaraNu.m,बारणुं,द्वार
window,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,উইন্ডো,uinDo,उइन्डो,વિન્ડો,vinDo,विन्डो,खिड़की
window,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,વિન્ડો,vinDo,विन्डो,ஜன்னல்,ja*n*nal,जऩ्ऩल्,खिड़की
window,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,উইণ্ডো,uiNDo,उइण्डो,উইন্ডো,uinDo,उइन्डो,खिड़की
window,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,खिड़की,khiDa़kii,खिड़की,વિન્ડો,vinDo,विन्डो,खिड़की
road,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,পথ,patha,पथ,રસ્તો,rasto,रस्तो,सड़क
road,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,રસ્તો,rasto,रस्तो,சாலை,chaalai,चालै,सड़क
road,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পথ,patha,पथ,পথ,patha,पथ,सड़क
road,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,सड़क,saDa़ka,सड़क,રસ્તો,rasto,रस्तो,सड़क
book,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,বই,bai,बइ,પુસ્તક,pustaka,पुस्तक,पुस्तक
book,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પુસ્તક,pustaka,पुस्तक,புத்தகம்,puttakam,पुत्तकम्,पुस्तक
book,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,কিতাপ,kitaapa,किताप,বই,bai,बइ,पुस्तक
book,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,पुस्तक,pustaka,पुस्तक,પુસ્તક,pustaka,पुस्तक,पुस्तक
school,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,স্কুল,skula,स्कुल,શાળા,shaaldaa,शाळा,विद्यालय
school,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,શાળા,shaaldaa,शाळा,பள்ளி,paldldi,पळ्ळि,विद्यालय
school,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,বিদ্যালয়,bidyaalaya़,बिद्यालय़,স্কুল,skula,स्कुल,विद्यालय
school,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,विद्यालय,vidyaalaya,विद्यालय,શાળા,shaaldaa,शाळा,विद्यालय
teacher,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,শিক্ষক,shikShaka,शिक्षक,શિક્ષક,shikShaka,शिक्षक,शिक्षक
teacher,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,શિક્ષક,shikShaka,शिक्षक,ஆசிரியர்,aachiriyar,आचिरियर्,शिक्षक
teacher,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,শিক্ষক,shikShaka,शिक्षक,শিক্ষক,shikShaka,शिक्षक,शिक्षक
teacher,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,शिक्षक,shikShaka,शिक्षक,શિક્ષક,shikShaka,शिक्षक,शिक्षक
student,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,ছাত্র,Chaatra,छात्र,વિદ્યાર્થી,vidyaarthii,विद्यार्थी,छात्र
student,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,વિદ્યાર્થી,vidyaarthii,विद्यार्थी,மாணவர்,maaNavar,माणवर्,छात्र
student,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ছাত্ৰ,Chaat॰,छात्ৰ,ছাত্র,Chaatra,छात्र,छात्र
student,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,छात्र,Chaatra,छात्र,વિદ્યાર્થી,vidyaarthii,विद्यार्थी,छात्र
food,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,খাদ্য,khaadya,खाद्य,ખોરાક,khoraaka,खोराक,भोजन
food,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ખોરાક,khoraaka,खोराक,உணவு,uNavu,उणवु,भोजन
food,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,খাদ্য,khaadya,खाद्य,খাদ্য,khaadya,खाद्य,भोजन
food,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,भोजन,bhojana,भोजन,ખોરાક,khoraaka,खोराक,भोजन
rice,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,ধান,dhaana,धान,ચોખા,chokhaa,चोखा,चावल
rice,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ચોખા,chokhaa,चोखा,அரிசி,arichi,अरिचि,चावल
rice,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,চাউল,chaaula,चाउल,ধান,dhaana,धान,चावल
rice,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,चावल,chaavala,चावल,ચોખા,chokhaa,चोखा,चावल
milk,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,দুধ,dudha,दुध,દૂધ,duudha,दूध,दूध
milk,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,દૂધ,duudha,दूध,பால்,paal,पाल्,दूध
milk,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,দুগ্ধ,dugdha,दुग्ध,দুধ,dudha,दुध,दूध
milk,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,दूध,duudha,दूध,દૂધ,duudha,दूध,दूध
bread,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,রুটি,ruTi,रुटि,રોટલી,roTalii,रोटली,रोटी
bread,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,રોટલી,roTalii,रोटली,ரொட்டி,r.oTTi,रॊट्टि,रोटी
bread,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পিঠা,piThaa,पिठा,রুটি,ruTi,रुटि,रोटी
bread,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,रोटी,roTii,रोटी,રોટલી,roTalii,रोटली,रोटी
music,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সঙ্গীত,sa~Ngiita,सङ्गीत,સંગીત,sa.mgiita,संगीत,संगीत
music,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,સંગીત,sa.mgiita,संगीत,இசை,ichai,इचै,संगीत
music,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,সংগীত,sa.mgiita,संगीत,সঙ্গীত,sa~Ngiita,सङ्गीत,संगीत
music,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,संगीत,sa.mgiita,संगीत,સંગીત,sa.mgiita,संगीत,संगीत
dance,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,নাচ,naacha,नाच,નૃત્ય,nR^itya,नृत्य,नृत्य
dance,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,નૃત્ય,nR^itya,नृत्य,நடனம்,naTa*nam,नटऩम्,नृत्य
dance,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,নাচ,naacha,नाच,নাচ,naacha,नाच,नृत्य
dance,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,नृत्य,nR^itya,नृत्य,નૃત્ય,nR^itya,नृत्य,नृत्य
friend,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,বন্ধু,bandhu,बन्धु,મિત્ર,mitra,मित्र,मित्र
friend,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,મિત્ર,mitra,मित्र,நண்பர்,naNpar,नण्पर्,मित्र
friend,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,বন্ধু,bandhu,बन्धु,বন্ধু,bandhu,बन्धु,मित्र
friend,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,मित्र,mitra,मित्र,મિત્ર,mitra,मित्र,मित्र
family,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,পরিবার,paribaara,परिबार,પરિવાર,parivaara,परिवार,परिवार
family,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પરિવાર,parivaara,परिवार,குடும்பம்,kuTumpam,कुटुम्पम्,परिवार
family,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পৰিয়াল,paiyaaala,पৰिय़ाल,পরিবার,paribaara,परिबार,परिवार
family,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,परिवार,parivaara,परिवार,પરિવાર,parivaara,परिवार,परिवार
child,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,শিশু,shishu,शिशु,બાળક,baaldaka,बाळक,बच्चा
child,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,બાળક,baaldaka,बाळक,குழந்தை,kuzhantai,कुऴन्तै,बच्चा
child,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,শিশু,shishu,शिशु,শিশু,shishu,शिशु,बच्चा
child,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,बच्चा,bachchaa,बच्चा,બાળક,baaldaka,बाळक,बच्चा
mother,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,মা,maa,मा,મા,maa,मा,माँ
mother,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,મા,maa,मा,தாய்,taay,ताय्,माँ
mother,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,মাতৃ,maatR^i,मातृ,মা,maa,मा,माँ
mother,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,माँ,maaँ,माँ,મા,maa,मा,माँ
father,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,পিতা,pitaa,पिता,પિતા,pitaa,पिता,पिता
father,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,પિતા,pitaa,पिता,தந்தை,tantai,तन्तै,पिता
father,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পিতৃ,pitR^i,पितृ,পিতা,pitaa,पिता,पिता
father,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,पिता,pitaa,पिता,પિતા,pitaa,पिता,पिता
day,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,দিন,dina,दिन,દિવસ,divasa,दिवस,दिन
day,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,દિવસ,divasa,दिवस,நாள்,naald,नाळ्,दिन
day,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,দিন,dina,दिन,দিন,dina,दिन,दिन
day,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,दिन,dina,दिन,દિવસ,divasa,दिवस,दिन
night,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,রাত্রি,raatri,रात्रि,રાત,raata,रात,रात
night,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,રાત,raata,रात,இரவு,iravu,इरवु,रात
night,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ৰাতি,aati,ৰाति,রাত্রি,raatri,रात्रि,रात
night,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,रात,raata,रात,રાત,raata,रात,रात
morning,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সকাল,sakaala,सकाल,સવારે,savaare,सवारे,सुबह
morning,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,સવારે,savaare,सवारे,காலை,kaalai,कालै,सुबह
morning,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,পুৱা,puaa,पुৱा,সকাল,sakaala,सकाल,सुबह
morning,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,सुबह,subaha,सुबह,સવારે,savaare,सवारे,सुबह
happy,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সুখী,sukhii,सुखी,સુખી,sukhii,सुखी,प्रसन्न
happy,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,સુખી,sukhii,सुखी,மகிழ்ச்சியாக,makizhchchiyaaka,मकिऴ्च्चियाक,प्रसन्न
happy,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,সুখী,sukhii,सुखी,সুখী,sukhii,सुखी,प्रसन्न
happy,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,प्रसन्न,prasanna,प्रसन्न,સુખી,sukhii,सुखी,प्रसन्न
sad,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,দুঃখজনক,duHkhajanaka,दुःखजनक,ઉદાસી,udaasii,उदासी,दुखद
sad,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ઉદાસી,udaasii,उदासी,துயரம்,tuyaram,तुयरम्,दुखद
sad,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,দুখীয়া,dukhiiyaaa,दुखीय़ा,দুঃখজনক,duHkhajanaka,दुःखजनक,दुखद
sad,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,दुखद,dukhada,दुखद,ઉદાસી,udaasii,उदासी,दुखद
small,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,ছোট,ChoTa,छोट,નાના,naanaa,नाना,छोटा
small,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,નાના,naanaa,नाना,சிறிய,chiRiya,चिऱिय,छोटा
small,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,সৰু,sau,सৰु,ছোট,ChoTa,छोट,छोटा
small,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,छोटा,ChoTaa,छोटा,નાના,naanaa,नाना,छोटा
big,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,বড়,baDa़,बड़,મોટા,moTaa,मोटा,बड़ा
big,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,મોટા,moTaa,मोटा,பெரிய,p.eriya,पॆरिय,बड़ा
big,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ডাঙৰ,Daa~Na॰,डाङৰ,বড়,baDa़,बड़,बड़ा
big,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,बड़ा,baDaaa,बड़ा,મોટા,moTaa,मोटा,बड़ा
fast,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,দ্রুত,druta,द्रुत,ઝડપી,jhaDapii,झडपी,तेजी से
fast,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ઝડપી,jhaDapii,झडपी,வேகமாக,vekamaaka,वेकमाक,तेजी से
fast,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,দ্ৰুত,duta,द्ৰुत,দ্রুত,druta,द्रुत,तेजी से
fast,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,तेजी से,tejii se,तेजी से,ઝડપી,jhaDapii,झडपी,तेजी से
slow,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,ধীর,dhiira,धीर,ધીમી,dhiimii,धीमी,धीमी
slow,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,ધીમી,dhiimii,धीमी,மெதுவாக,m.etuvaaka,मॆतुवाक,धीमी
slow,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ধীৰে ধীৰে,dhiie dhiie,धीৰे धीৰे,ধীর,dhiira,धीर,धीमी
slow,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,धीमी,dhiimii,धीमी,ધીમી,dhiimii,धीमी,धीमी
red,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,লাল,laala,लाल,લાલ,laala,लाल,लाल
red,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,લાલ,laala,लाल,சிவப்பு,chivappu,चिवप्पु,लाल
red,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,ৰঙা,॰~Naa,ৰङा,লাল,laala,लाल,लाल
red,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,लाल,laala,लाल,લાલ,laala,लाल,लाल
blue,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,নীল,niila,नील,વાદળી,vaadaldii,वादळी,नीला
blue,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,વાદળી,vaadaldii,वादळी,நீல,niila,नील,नीला
blue,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,নীলা,niilaa,नीला,নীল,niila,नील,नीला
blue,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,नीला,niilaa,नीला,વાદળી,vaadaldii,वादळी,नीला
green,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সবুজ,sabuja,सबुज,લીલો,liilo,लीलो,हरा
green,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,લીલો,liilo,लीलो,பச்சை,pachchai,पच्चै,हरा
green,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,সবুজ,sabuja,सबुज,সবুজ,sabuja,सबुज,हरा
green,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,हरा,haraa,हरा,લીલો,liilo,लीलो,हरा
white,ben_to_guj,test_cross_script_same_family,ben_Beng,guj_Gujr,Bengali,Gujarati,সাদা,saadaa,सादा,સફેદ,sapheda,सफेद,सफेद
white,guj_to_tam,test_cross_script_cross_family,guj_Gujr,tam_Taml,Gujarati,Tamil,સફેદ,sapheda,सफेद,வெள்ளை,v.eldldai,वॆळ्ळै,सफेद
white,asm_to_ben,control_same_script,asm_Beng,ben_Beng,Assamese,Bengali,বগা,bagaa,बगा,সাদা,saadaa,सादा,सफेद
white,hin_to_guj,control_devanagari_in_input,hin_Deva,guj_Gujr,Hindi,Gujarati,सफेद,sapheda,सफेद,સફેદ,sapheda,सफेद,सफेद
